https://www.youtube.com/watch?v=f84n5oFoZBc

正如我昨天所说，我换了 茎 
正如我昨天所说，我换了 茎 ,所以这是更哲学的
所以这是更哲学的,也谈谈我不能 的头衔 
也谈谈我不能 的头衔 , 决定其中一些是半胡思乱想的 
 决定其中一些是半胡思乱想的 ,那些就业， 然后战争可以是一个 
那些就业， 然后战争可以是一个 , 因为如此，伟大的壮举或路线 
 因为如此，伟大的壮举或路线 ,这是关于第一步， 这是这个 
这是关于第一步， 这是这个 , 只是一个经验报告， 它不是 
 只是一个经验报告， 它不是 , 倡导有一点方法论 
 倡导有一点方法论 ,在这里，科学或其他任何东西 ，所以我想 
在这里，科学或其他任何东西 ，所以我想 ,喜欢你试着想想什么时候是 
喜欢你试着想想什么时候是 ,上一次你想到的 
上一次你想到的 , 像没人一样 整整 一个 小时 
 像没人一样 整整 一个 小时 ,打扰了你，你有一个想法和 你 
打扰了你，你有一个想法和 你 ,坐了有关如何 约 一个小时的思考 
坐了有关如何 约 一个小时的思考 ,每个人都记得一整天
 你正在做的事情, 显然没有花时间 
如果我们有个好主意的话 ,或者我们正在做什么 
或者我们正在做什么 ,解决这个想法所以我要谈谈 
解决这个想法所以我要谈谈 , 一点关于分析和设计我 
 一点关于分析和设计我 ,知道那么九十年代 和丑陋而且是 
知道那么九十年代 和丑陋而且是 , 理所当然，你知道 批评 和 
 理所当然，你知道 批评 和 , 因为 你认识的 人真的掉了
 因为 你认识的 人真的掉了,认为这是关于过程 和 
认为这是关于过程 和 ,画画，你知道 
画画，你知道 , 关于一切和制作的一切 
 关于一切和制作的一切 ,全面的计划和 瀑布 
全面的计划和 瀑布 ,模型，有惊人的数量 
模型，有惊人的数量 , 但这件事情很可怕
 但这件事情很可怕, 这并不意味着 这一步 
 这并不意味着 这一步 ,在去之前这不是重要的一步 
在去之前这不是重要的一步 , 而且我认为我们没有花足够的时间 
 而且我认为我们没有花足够的时间 , 和能量或或足够的时间或得到 
 和能量或或足够的时间或得到 ,分配时间，你知道它可能不是一个 
分配时间，你知道它可能不是一个 , 如果我们说我们愿意，我们选择的问题
 如果我们说我们愿意，我们选择的问题, 花一些时间思考它但是 
 花一些时间思考它但是 ,我们必须在下周发货， 但是 
我们必须在下周发货， 但是 , 我们 肯定在质量上受苦 
 我们 肯定在质量上受苦 , 因为我们 不 花时间 在这里 
 因为我们 不 花时间 在这里 ,所以我想做的就是公正 
所以我想做的就是公正 , 无论你怎么想分析 
 无论你怎么想分析 ,设计就像 你 只是忘记了 
设计就像 你 只是忘记了 , 此刻 ，让我们尝试做一个非常简单的 
 此刻 ，让我们尝试做一个非常简单的 , 定义分析和设计是关于 
 定义分析和设计是关于 , 两件事确定了一些问题 
 两件事确定了一些问题 , 我们正在努力 解决和评估我们的 
 我们正在努力 解决和评估我们的 ,建议的解决方案是否或 
建议的解决方案是否或 , 不是它解决了那个问题 
 不是它解决了那个问题 ,这是什么 
这是什么 ,关于我们 应该做的任何其他事情
关于我们 应该做的任何其他事情, 解决问题，但我们不应该 
 解决问题，但我们不应该 , 建筑功能没有任何 关于 
 建筑功能没有任何 关于 ,功能是什么功能 
功能是什么功能 ,只是某种东西的属性 
只是某种东西的属性 ,是你知道的镀铬旋钮 
是你知道的镀铬旋钮 ,东西它不是的目的
东西它不是的目的, 如果放的话，车无法保证 
 如果放的话，车无法保证 , 一个功能列表，即使它来了 
 一个功能列表，即使它来了 , 来自即将解决的客户 
 来自即将解决的客户 ,他们自己的问题或解决任何问题
他们自己的问题或解决任何问题,问题或你的功能 
问题或你的功能 ,把它们放在一起不要介绍一个 
把它们放在一起不要介绍一个 , 这么多其他问题都是如此 
 这么多其他问题都是如此 ,编程和编写软件不是 
编程和编写软件不是 ,关于完成此功能
关于完成此功能, 用户提供的特殊功能 
 用户提供的特殊功能 , 尽管他们尽最大努力 满足 
 尽管他们尽最大努力 满足 ,自己或经常真的不好 
自己或经常真的不好 ,想法，你必须深入挖掘
想法，你必须深入挖掘,它并找出他们有 什么问题 
它并找出他们有 什么问题 , ，什么是它 的 最佳解决方案 ， 
 ，什么是它 的 最佳解决方案 ， , 然后用它们调和它 
 然后用它们调和它 , 要求 我们也有一种倾向 
 要求 我们也有一种倾向 ,因为我们都很 聪明 ，我们 
因为我们都很 聪明 ，我们 ,爱是聪明的，有点想象 
爱是聪明的，有点想象 , 知道如何让 事情顺利进行 
 知道如何让 事情顺利进行 , 搞清楚如何让事情顺利进行 
 搞清楚如何让事情顺利进行 ,无论做什么都很好
无论做什么都很好, 如果我们能 找到一种方法 ， 那就 这样 吧 
